# QUANTITATIVE ANALYSIS CONSOLIDATED REPORT
# Generated: 2026-02-01T05:20:28.871901
# Total Reviews: 50000
# Date Range: 2023-01-01 to 2023-12-14

## STAGE 1: DESCRIPTIVE STATISTICS

### KEY INSIGHTS
Metric,Value
Dataset Scope,MULTIPLE_CITIES
Total Reviews,50000
Date Range,2023-01-01 to 2023-12-14
Number of Cities,7
Number of Restaurants,8
Number of Cuisines,7
Number of Reviewers,2000
Average Rating,2.99
Median Rating,3.0
Std Dev Rating,1.42
CV Rating (%),47.32
Rating Range,1 - 5
Avg Likes per Review,250.59
CV Likes (%),57.65
Reviews with Likes,49895 (99.8%)


### OVERALL STATISTICS
,count,mean,std,min,25%,50%,75%,max,rating_overall,like_count,restaurant_overall_rating,restaurant_review_count
rating_overall,50000.0,2.993,1.4164148843550368,1.0,2.0,3.0,4.0,5.0,,,,
like_count,50000.0,250.58806,144.46310642243142,0.0,126.0,251.0,376.0,500.0,,,,
restaurant_overall_rating,50000.0,2.9925198,0.017059027761527398,2.96,2.99,2.99,3.0,3.02,,,,
restaurant_review_count,50000.0,6251.45536,95.66958252574751,6131.0,6185.0,6201.0,6366.0,6394.0,,,,
cv_%,,,,,,,,,47.32425273488262,57.64963678733592,0.5700556354389834,1.5303569651619093


### BY CITY STATISTICS
,count,mean,std,median,min,max,cv_%
Bangalore,7282.0,2.989425981873112,1.4266955567297441,3.0,1.0,5.0,47.72473262026733
Chennai,7276.0,3.030511269928532,1.4242488342995254,3.0,1.0,5.0,46.996981942690915
Delhi,7053.0,2.9812845597618036,1.4284569159724938,3.0,1.0,5.0,47.91414195250867
Hyderabad,7017.0,2.984466296137951,1.408320831205997,3.0,1.0,5.0,47.18836439963938
Kolkata,7063.0,2.9943366841285575,1.405665472864604,3.0,1.0,5.0,46.944135584863105
Mumbai,7207.0,2.9944498404329125,1.4047507709577634,3.0,1.0,5.0,46.91181505163153
Pune,7102.0,2.975499859194593,1.4160912112135475,3.0,1.0,5.0,47.591708224676395


### BY CUISINE STATISTICS
,count,mean,std,median,min,max,cv_%
biryani,7104.0,2.9857826576576576,1.412099723742459,3.0,1.0,5.0,47.294123037416576
chinese,7222.0,2.979230130157851,1.416702771008298,3.0,1.0,5.0,47.55264645948098
curry,7131.0,2.988781377085963,1.4045159837791088,3.0,1.0,5.0,46.992931451831396
north indian,7089.0,3.023416560868952,1.4237640104733522,3.0,1.0,5.0,47.09122880719262
pizza,7286.0,2.9958825144111993,1.4244591732406908,3.0,1.0,5.0,47.547230787207596
south indian,6940.0,3.0103746397694526,1.4179410115365272,3.0,1.0,5.0,47.10181227294418
street food,7228.0,2.9685943552850027,1.4150875587886023,3.0,1.0,5.0,47.668606398490084


### BY RESTAURANT (TOP 20)
,count,mean,std,median,min,max,cv_%
Curry Nation,6394.0,2.9929621520175163,1.4218625080651093,3.0,1.0,5.0,47.50686563499143
Spice Villa,6366.0,2.9945020420986492,1.39423161152048,3.0,1.0,5.0,46.559714834702696
Biryani Blues,6349.0,3.000472515356749,1.429337415648094,3.0,1.0,5.0,47.63707743805642
Wok & Roll,6201.0,3.010965973230124,1.4192941404331232,3.0,1.0,5.0,47.13750182007283
Masala Magic,6192.0,2.9570413436692506,1.4156161726778076,3.0,1.0,5.0,47.872721688809314
The Hungry Fork,6185.0,3.0156831042845593,1.4189782060473821,3.0,1.0,5.0,47.05329296806272
Pizza Junction,6182.0,2.988676803623423,1.4153117984583705,3.0,1.0,5.0,47.355799621507074
Urban Tadka,6131.0,2.983363236013701,1.4165361706244357,3.0,1.0,5.0,47.481183435014024


## STAGE 2: STATISTICAL TESTS

### ANOVA BY CITY
F_statistic,p_value,eta_squared,effect_size,n_groups,significant
1.1641357855259729,0.32227315610246043,0.00013969633668969552,Small,7,No


### ANOVA BY CUISINE
F_statistic,p_value,eta_squared,effect_size,n_groups,significant
1.2366532720612136,0.2837728180551128,0.00014839714634984325,Small,7,No


### T-TEST: LIKES COMPARISON
t_statistic,p_value,cohens_d,effect_size,significant,mean_with_likes,mean_without_likes,mean_difference,n_with_likes,n_without_likes
-0.5902548077499916,0.5562950699310762,-0.05885635181619871,Negligible,No,2.992824932357952,3.0761904761904764,-0.08336554383252448,49895,105


### CORRELATION: RATING VS LIKES
pearson_r,p_value,strength,significant
-0.003841366802681658,0.39037504063045364,Negligible,No


## STAGE 3: OUTLIER DETECTION

### ANOMALY SUMMARY
Total Anomalies Found: 402
Anomaly Percentage: 0.8%

### RATING OUTLIERS (IQR)
column,Q1,Q3,IQR,lower_bound,upper_bound,outlier_count,outlier_percentage
rating_overall,2.0,4.0,2.0,-1.0,7.0,0,0.0


### RATING OUTLIERS (Z-SCORE)
column,mean,std_dev,threshold,outlier_count,outlier_percentage
rating_overall,2.993,1.4164148843550368,3,0,0.0


### LIKES OUTLIERS (IQR)
column,Q1,Q3,IQR,lower_bound,upper_bound,outlier_count,outlier_percentage
like_count_nonzero,127.0,376.0,249.0,-246.5,749.5,0,0.0


### LIKES OUTLIERS (Z-SCORE)
column,mean,std_dev,threshold,outlier_count,outlier_percentage
like_count,250.58806,144.46310642243142,3,0,0.0


